,loss,loss,,mean,,thresh
255:,loss,0.446,reward_mean,66.1,reward_threshold,246.1
256:,loss,0.42,reward_mean,53.2,reward_threshold,227
257:,loss,0.457,reward_mean,57.9,reward_threshold,238.4
258:,loss,0.43,reward_mean,51.2,reward_threshold,229.9
259:,loss,0.463,reward_mean,56,reward_threshold,233
260:,loss,0.483,reward_mean,46,reward_threshold,226.1
261:,loss,0.444,reward_mean,41.1,reward_threshold,224.2
262:,loss,0.448,reward_mean,47.7,reward_threshold,225.1
263:,loss,0.43,reward_mean,46.1,reward_threshold,199.6
264:,loss,0.44,reward_mean,44.8,reward_threshold,227.3
265:,loss,0.464,reward_mean,56.8,reward_threshold,240.8
266:,loss,0.448,reward_mean,66,reward_threshold,250.4
267:,loss,0.417,reward_mean,70,reward_threshold,245.6
268:,loss,0.419,reward_mean,67.8,reward_threshold,249
269:,loss,0.42,reward_mean,87.5,reward_threshold,241.2
270:,loss,0.412,reward_mean,81,reward_threshold,248.2
271:,loss,0.42,reward_mean,90.2,reward_threshold,251.9
272:,loss,0.403,reward_mean,91.9,reward_threshold,250.8
273:,loss,0.418,reward_mean,97,reward_threshold,253.9
274:,loss,0.395,reward_mean,124.9,reward_threshold,265.7
275:,loss,0.443,reward_mean,130.7,reward_threshold,265.1
276:,loss,0.419,reward_mean,135.4,reward_threshold,263.5
277:,loss,0.394,reward_mean,144,reward_threshold,266.7
278:,loss,0.411,reward_mean,138.5,reward_threshold,266.4
279:,loss,0.428,reward_mean,137.6,reward_threshold,267.4
280:,loss,0.419,reward_mean,176.9,reward_threshold,267.3
281:,loss,0.4,reward_mean,154.6,reward_threshold,261.5
282:,loss,0.44,reward_mean,130.6,reward_threshold,256.1
283:,loss,0.413,reward_mean,137.6,reward_threshold,251.1
284:,loss,0.436,reward_mean,149.7,reward_threshold,266.8
285:,loss,0.444,reward_mean,137.4,reward_threshold,259.1
286:,loss,0.417,reward_mean,136,reward_threshold,258.2
287:,loss,0.454,reward_mean,155.1,reward_threshold,264.7
288:,loss,0.425,reward_mean,142.3,reward_threshold,260.1
289:,loss,0.449,reward_mean,118.9,reward_threshold,261.3
290:,loss,0.446,reward_mean,141.1,reward_threshold,267.2
291:,loss,0.451,reward_mean,146.7,reward_threshold,261.6
292:,loss,0.433,reward_mean,137.6,reward_threshold,266.4
293:,loss,0.439,reward_mean,134.1,reward_threshold,261.5
294:,loss,0.462,reward_mean,137.4,reward_threshold,270.3
295:,loss,0.462,reward_mean,147.2,reward_threshold,266.3
296:,loss,0.398,reward_mean,159.4,reward_threshold,273.4
297:,loss,0.394,reward_mean,145,reward_threshold,271.5
298:,loss,0.399,reward_mean,150.8,reward_threshold,272.5
299:,loss,0.389,reward_mean,142.1,reward_threshold,272.3
300:,loss,0.427,reward_mean,150.5,reward_threshold,268.5
301:,loss,0.389,reward_mean,161,reward_threshold,264.6
302:,loss,0.421,reward_mean,139.2,reward_threshold,270.3
303:,loss,0.418,reward_mean,149.5,reward_threshold,271
304:,loss,0.393,reward_mean,152.2,reward_threshold,278.1
305:,loss,0.41,reward_mean,146.5,reward_threshold,272.6
306:,loss,0.423,reward_mean,156.9,reward_threshold,269.3
307:,loss,0.438,reward_mean,154,reward_threshold,267.1
308:,loss,0.446,reward_mean,153.3,reward_threshold,264.4
309:,loss,0.463,reward_mean,154.5,reward_threshold,260.7
310:,loss,0.463,reward_mean,153.2,reward_threshold,264.3
311:,loss,0.449,reward_mean,145.5,reward_threshold,265
312:,loss,0.451,reward_mean,152.1,reward_threshold,266.3
313:,loss,0.414,reward_mean,145.8,reward_threshold,260.8
314:,loss,0.432,reward_mean,146.3,reward_threshold,264.6
315:,loss,0.412,reward_mean,154.3,reward_threshold,265.9
316:,loss,0.427,reward_mean,148.7,reward_threshold,272.2
317:,loss,0.436,reward_mean,155.1,reward_threshold,269.8
318:,loss,0.44,reward_mean,155.2,reward_threshold,270.4
319:,loss,0.452,reward_mean,134.8,reward_threshold,269.2
320:,loss,0.407,reward_mean,146.5,reward_threshold,271.1
321:,loss,0.418,reward_mean,146.5,reward_threshold,269.9
322:,loss,0.464,reward_mean,152.2,reward_threshold,271.2
323:,loss,0.472,reward_mean,140.6,reward_threshold,269.7
324:,loss,0.435,reward_mean,140.3,reward_threshold,274.1
325:,loss,0.461,reward_mean,129.7,reward_threshold,266.9
326:,loss,0.466,reward_mean,133.5,reward_threshold,269.1
327:,loss,0.463,reward_mean,158.6,reward_threshold,268.1
328:,loss,0.456,reward_mean,116.3,reward_threshold,267.2
329:,loss,0.482,reward_mean,120.8,reward_threshold,261
330:,loss,0.467,reward_mean,122.4,reward_threshold,265.6
331:,loss,0.46,reward_mean,116.3,reward_threshold,263
332:,loss,0.491,reward_mean,119,reward_threshold,260.4
333:,loss,0.47,reward_mean,103.2,reward_threshold,262
334:,loss,0.455,reward_mean,107.5,reward_threshold,260.7
335:,loss,0.442,reward_mean,126.2,reward_threshold,267.8
336:,loss,0.451,reward_mean,102.7,reward_threshold,263.2
337:,loss,0.462,reward_mean,108.5,reward_threshold,261.6
338:,loss,0.458,reward_mean,116.5,reward_threshold,268.3
339:,loss,0.453,reward_mean,139.3,reward_threshold,271.1
340:,loss,0.434,reward_mean,139.4,reward_threshold,274.9
341:,loss,0.469,reward_mean,123.6,reward_threshold,269.1
342:,loss,0.445,reward_mean,104.3,reward_threshold,262.6
343:,loss,0.476,reward_mean,112.6,reward_threshold,267.5
344:,loss,0.448,reward_mean,123.7,reward_threshold,273
345:,loss,0.477,reward_mean,123.4,reward_threshold,268
346:,loss,0.49,reward_mean,97.5,reward_threshold,253.8
347:,loss,0.478,reward_mean,108.7,reward_threshold,259.4
348:,loss,0.47,reward_mean,103.2,reward_threshold,256.7
349:,loss,0.477,reward_mean,86.4,reward_threshold,242.8
350:,loss,0.442,reward_mean,100.3,reward_threshold,260.9
351:,loss,0.44,reward_mean,100.7,reward_threshold,253.2
352:,loss,0.438,reward_mean,94.1,reward_threshold,259.6
353:,loss,0.392,reward_mean,102.7,reward_threshold,248.6
354:,loss,0.438,reward_mean,122.1,reward_threshold,256.2
355:,loss,0.421,reward_mean,114.6,reward_threshold,253.6
356:,loss,0.387,reward_mean,116.3,reward_threshold,263.7
357:,loss,0.388,reward_mean,109.6,reward_threshold,262.1
358:,loss,0.406,reward_mean,97.3,reward_threshold,259.4
359:,loss,0.386,reward_mean,90.6,reward_threshold,258.7
360:,loss,0.403,reward_mean,87.5,reward_threshold,246.8
361:,loss,0.386,reward_mean,86.5,reward_threshold,255.5
362:,loss,0.412,reward_mean,79.6,reward_threshold,251.2
363:,loss,0.412,reward_mean,84.2,reward_threshold,244.9
364:,loss,0.379,reward_mean,95.4,reward_threshold,260.7
365:,loss,0.389,reward_mean,109.5,reward_threshold,252.5
366:,loss,0.405,reward_mean,118,reward_threshold,257.6
367:,loss,0.392,reward_mean,161.1,reward_threshold,274.4
368:,loss,0.41,reward_mean,128.2,reward_threshold,264.5
369:,loss,0.391,reward_mean,147.2,reward_threshold,271.7
370:,loss,0.393,reward_mean,160.2,reward_threshold,275.9
371:,loss,0.379,reward_mean,157.2,reward_threshold,276.8
372:,loss,0.32,reward_mean,148.7,reward_threshold,274.6
373:,loss,0.399,reward_mean,166.9,reward_threshold,275
374:,loss,0.378,reward_mean,179,reward_threshold,271.9
375:,loss,0.392,reward_mean,171.7,reward_threshold,271.4
376:,loss,0.37,reward_mean,191.2,reward_threshold,273.3
377:,loss,0.4,reward_mean,177.1,reward_threshold,271.4
378:,loss,0.397,reward_mean,174.6,reward_threshold,272.8
379:,loss,0.327,reward_mean,184.4,reward_threshold,271.9
380:,loss,0.376,reward_mean,170.3,reward_threshold,280.7
381:,loss,0.397,reward_mean,169.9,reward_threshold,273
382:,loss,0.398,reward_mean,188.5,reward_threshold,277.9
383:,loss,0.421,reward_mean,187.6,reward_threshold,279.1
384:,loss,0.391,reward_mean,180.2,reward_threshold,277.8
385:,loss,0.414,reward_mean,190.9,reward_threshold,281.5
386:,loss,0.43,reward_mean,184,reward_threshold,279.6
387:,loss,0.428,reward_mean,195.9,reward_threshold,277.3
388:,loss,0.441,reward_mean,196.1,reward_threshold,280.3
389:,loss,0.468,reward_mean,179.8,reward_threshold,278.9
390:,loss,0.454,reward_mean,177.3,reward_threshold,276
391:,loss,0.459,reward_mean,182,reward_threshold,273.4
392:,loss,0.465,reward_mean,180,reward_threshold,276
393:,loss,0.452,reward_mean,176.2,reward_threshold,279.7
394:,loss,0.449,reward_mean,191.9,reward_threshold,284.4
395:,loss,0.478,reward_mean,183.9,reward_threshold,274.3
396:,loss,0.453,reward_mean,186.1,reward_threshold,276.9
397:,loss,0.462,reward_mean,177.6,reward_threshold,277.6
398:,loss,0.459,reward_mean,177.6,reward_threshold,272.3
399:,loss,0.436,reward_mean,173,reward_threshold,279.9
400:,loss,0.505,reward_mean,165.8,reward_threshold,273.5
401:,loss,0.482,reward_mean,155.3,reward_threshold,270.6
402:,loss,0.513,reward_mean,132.4,reward_threshold,262.8
403:,loss,0.414,reward_mean,146.4,reward_threshold,266.9
404:,loss,0.461,reward_mean,141,reward_threshold,274.9
405:,loss,0.455,reward_mean,135.1,reward_threshold,266.7
406:,loss,0.536,reward_mean,138.4,reward_threshold,271.8
407:,loss,0.438,reward_mean,152.3,reward_threshold,271.4
408:,loss,0.494,reward_mean,154.6,reward_threshold,271
409:,loss,0.479,reward_mean,137.3,reward_threshold,270.3
410:,loss,0.528,reward_mean,148,reward_threshold,262.4
411:,loss,0.511,reward_mean,154.4,reward_threshold,271.3
412:,loss,0.549,reward_mean,150.4,reward_threshold,276.2
413:,loss,0.497,reward_mean,150.8,reward_threshold,275
414:,loss,0.493,reward_mean,147.8,reward_threshold,270.8
415:,loss,0.514,reward_mean,152.8,reward_threshold,273.3
416:,loss,0.56,reward_mean,153,reward_threshold,269.1
417:,loss,0.527,reward_mean,144.2,reward_threshold,272.1
418:,loss,0.55,reward_mean,152.8,reward_threshold,274.7
419:,loss,0.593,reward_mean,157.9,reward_threshold,272.2
420:,loss,0.538,reward_mean,148.5,reward_threshold,275.7
421:,loss,0.548,reward_mean,140.8,reward_threshold,270
422:,loss,0.53,reward_mean,132.8,reward_threshold,273.8
423:,loss,0.529,reward_mean,130.3,reward_threshold,272.1
424:,loss,0.485,reward_mean,132.9,reward_threshold,269.7
425:,loss,0.509,reward_mean,138.9,reward_threshold,277.5
426:,loss,0.484,reward_mean,139.7,reward_threshold,278
427:,loss,0.511,reward_mean,141.9,reward_threshold,281.7
428:,loss,0.444,reward_mean,172,reward_threshold,277.9
429:,loss,0.492,reward_mean,187.7,reward_threshold,280.1
430:,loss,0.492,reward_mean,198.8,reward_threshold,278.7
431:,loss,0.458,reward_mean,195.7,reward_threshold,284.3
432:,loss,0.486,reward_mean,190.8,reward_threshold,280.7
433:,loss,0.468,reward_mean,210.7,reward_threshold,286.5
434:,loss,0.513,reward_mean,204.2,reward_threshold,288.1
435:,loss,0.477,reward_mean,204.3,reward_threshold,285.9
436:,loss,0.483,reward_mean,204.1,reward_threshold,288.5
437:,loss,0.469,reward_mean,203.4,reward_threshold,288
438:,loss,0.445,reward_mean,210.5,reward_threshold,286.4
439:,loss,0.455,reward_mean,217.2,reward_threshold,286.6
440:,loss,0.471,reward_mean,211.2,reward_threshold,288.4
441:,loss,0.496,reward_mean,205.4,reward_threshold,283.4
442:,loss,0.465,reward_mean,197.1,reward_threshold,291.5
443:,loss,0.484,reward_mean,209.5,reward_threshold,287.9
444:,loss,0.487,reward_mean,200.3,reward_threshold,288.2
445:,loss,0.491,reward_mean,194.6,reward_threshold,290.9
446:,loss,0.523,reward_mean,173.9,reward_threshold,288.9
447:,loss,0.514,reward_mean,164.8,reward_threshold,280.8
448:,loss,0.523,reward_mean,192.2,reward_threshold,290.5
449:,loss,0.513,reward_mean,196.5,reward_threshold,287.3
450:,loss,0.515,reward_mean,176.1,reward_threshold,285.8
451:,loss,0.492,reward_mean,199.4,reward_threshold,289.7
452:,loss,0.484,reward_mean,192.8,reward_threshold,285.6
453:,loss,0.435,reward_mean,189.2,reward_threshold,283.5
